,record_year,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
70,2018,AUDI S5,3.0,60,AMS-8,4WD,Gasoline,FA,small car,5.0,21.0,30.0,24.0,5,No
71,2018,AUDI S5 Cabriolet,3.0,60,AMS-8,4WD,Gasoline,CA,small car,5.0,20.0,29.0,23.0,5,No
72,2018,AUDI S5 Cabriolet,3.0,60,AMS-8,4WD,Gasoline,FA,small car,5.0,20.0,29.0,23.0,5,No
73,2018,AUDI S5 Sportback,3.0,60,AMS-8,4WD,Gasoline,CA,midsize car,5.0,21.0,30.0,24.0,5,No
74,2018,AUDI S5 Sportback,3.0,60,AMS-8,4WD,Gasoline,FA,midsize car,5.0,21.0,30.0,24.0,5,No
75,2018,AUDI SQ5,3.0,60,AMS-8,4WD,Gasoline,CA,small SUV,5.0,19.0,24.0,21.0,4,No
76,2018,AUDI SQ5,3.0,60,AMS-8,4WD,Gasoline,FA,small SUV,5.0,19.0,24.0,21.0,4,No
77,2018,AUDI TT Coupe,2.0,40,AMS-6,4WD,Gasoline,CA,small car,7.0,23.0,30.0,26.0,5,No
78,2018,AUDI TT Coupe,2.0,40,AMS-6,4WD,Gasoline,FA,small car,7.0,23.0,30.0,26.0,5,No
79,2018,AUDI TT RS,2.5,50,AMS-7,4WD,Gasoline,CA,small car,3.0,19.0,29.0,22.0,4,No
80,2018,AUDI TT RS,2.5,50,AMS-7,4WD,Gasoline,FA,small car,3.0,19.0,29.0,22.0,4,No
81,2018,AUDI TT Roadster,2.0,40,AMS-6,4WD,Gasoline,CA,small car,7.0,23.0,30.0,26.0,5,No
82,2018,AUDI TT Roadster,2.0,40,AMS-6,4WD,Gasoline,FA,small car,7.0,23.0,30.0,26.0,5,No
83,2018,AUDI TTS Coupe,2.0,40,AMS-6,4WD,Gasoline,FA,small car,3.0,23.0,27.0,25.0,5,No
84,2018,AUDI TTS Coupe,2.0,40,AMS-6,4WD,Gasoline,CA,small car,3.0,23.0,27.0,25.0,5,No
85,2018,AUDI allroad quattro,2.0,40,AMS-7,4WD,Gasoline,CA,station wagon,5.0,22.0,30.0,25.0,5,No
86,2018,AUDI allroad quattro,2.0,40,AMS-7,4WD,Gasoline,FA,station wagon,5.0,22.0,30.0,25.0,5,No
87,2018,BENTLEY Bentayga,6.0,120,SemiAuto-8,4WD,Gasoline,CA,standard SUV,3.0,12.0,19.0,15.0,2,No
88,2018,BENTLEY Bentayga,6.0,120,SemiAuto-8,4WD,Gasoline,FA,standard SUV,3.0,12.0,19.0,15.0,2,No
89,2018,BENTLEY Chiron,8.0,160,AMS-7,4WD,Gasoline,CA,small car,1.0,9.0,14.0,11.0,1,No
90,2018,BENTLEY Chiron,8.0,160,AMS-7,4WD,Gasoline,FA,small car,1.0,9.0,14.0,11.0,1,No
91,2018,BMW 230i Convertible,2.0,40,SemiAuto-8,2WD,Gasoline,CA,small car,7.0,24.0,34.0,27.0,6,No
92,2018,BMW 230i Convertible,2.0,40,SemiAuto-8,2WD,Gasoline,FA,small car,7.0,24.0,34.0,27.0,6,No
93,2018,BMW 230i Coupe,2.0,40,Man-6,2WD,Gasoline,CA,small car,7.0,21.0,32.0,25.0,5,No
94,2018,BMW 230i Coupe,2.0,40,Man-6,2WD,Gasoline,FA,small car,7.0,21.0,32.0,25.0,5,No
95,2018,BMW 230i Coupe,2.0,40,SemiAuto-8,2WD,Gasoline,CA,small car,7.0,24.0,35.0,28.0,6,No
96,2018,BMW 230i Coupe,2.0,40,SemiAuto-8,2WD,Gasoline,FA,small car,7.0,24.0,35.0,28.0,6,No
97,2018,BMW 230i xDrive Convertible,2.0,40,SemiAuto-8,4WD,Gasoline,CA,small car,7.0,23.0,33.0,27.0,6,No
98,2018,BMW 230i xDrive Convertible,2.0,40,SemiAuto-8,4WD,Gasoline,FA,small car,7.0,23.0,33.0,27.0,6,No
99,2018,BMW 230i xDrive Coupe,2.0,40,SemiAuto-8,4WD,Gasoline,CA,small car,7.0,24.0,33.0,27.0,6,No
100,2018,BMW 230i xDrive Coupe,2.0,40,SemiAuto-8,4WD,Gasoline,FA,small car,7.0,24.0,33.0,27.0,6,No
101,2018,BMW 320i,2.0,40,Man-6,2WD,Gasoline,FA,small car,3.0,23.0,35.0,27.0,6,No
102,2018,BMW 320i,2.0,40,Man-6,2WD,Gasoline,CA,small car,3.0,23.0,35.0,27.0,6,No
103,2018,BMW 320i,2.0,40,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,24.0,35.0,28.0,6,No
104,2018,BMW 320i,2.0,40,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,24.0,35.0,28.0,6,No
105,2018,BMW 320i,2.0,40,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,23.0,34.0,27.0,6,No
106,2018,BMW 320i,2.0,40,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,23.0,34.0,27.0,6,No
107,2018,BMW 330i,2.0,40,Man-6,2WD,Gasoline,CA,small car,7.0,21.0,32.0,25.0,5,No
108,2018,BMW 330i,2.0,40,Man-6,2WD,Gasoline,FA,small car,7.0,21.0,32.0,25.0,5,No
109,2018,BMW 330i,2.0,40,SemiAuto-8,2WD,Gasoline,CA,small car,7.0,24.0,34.0,27.0,6,No
110,2018,BMW 330i,2.0,40,SemiAuto-8,2WD,Gasoline,FA,small car,7.0,24.0,34.0,27.0,6,No
111,2018,BMW 330i,2.0,40,SemiAuto-8,4WD,Gasoline,CA,small car,7.0,23.0,33.0,27.0,6,No
112,2018,BMW 330i,2.0,40,SemiAuto-8,4WD,Gasoline,FA,small car,7.0,23.0,33.0,27.0,6,No
113,2018,BMW 330i Gran Turismo,2.0,40,SemiAuto-8,4WD,Gasoline,CA,large car,7.0,23.0,33.0,27.0,6,No
114,2018,BMW 330i Gran Turismo,2.0,40,SemiAuto-8,4WD,Gasoline,FA,large car,7.0,23.0,33.0,27.0,6,No
115,2018,BMW 330i Sports Wagon,2.0,40,SemiAuto-8,4WD,Gasoline,CA,station wagon,7.0,23.0,33.0,27.0,6,No
116,2018,BMW 330i Sports Wagon,2.0,40,SemiAuto-8,4WD,Gasoline,FA,station wagon,7.0,23.0,33.0,27.0,6,No
117,2018,BMW 340i,3.0,60,Man-6,2WD,Gasoline,CA,small car,3.0,19.0,29.0,23.0,5,No
118,2018,BMW 340i,3.0,60,Man-6,2WD,Gasoline,FA,small car,3.0,19.0,29.0,23.0,5,No
119,2018,BMW 340i,3.0,60,Man-6,4WD,Gasoline,CA,small car,3.0,19.0,29.0,23.0,5,No
120,2018,BMW 340i,3.0,60,Man-6,4WD,Gasoline,FA,small car,3.0,19.0,29.0,23.0,5,No
121,2018,BMW 340i,3.0,60,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,21.0,32.0,25.0,5,No
122,2018,BMW 340i,3.0,60,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,21.0,32.0,25.0,5,No
123,2018,BMW 340i,3.0,60,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,21.0,31.0,25.0,5,No
124,2018,BMW 340i,3.0,60,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,21.0,31.0,25.0,5,No
125,2018,BMW 340i Gran Turismo,3.0,60,SemiAuto-8,4WD,Gasoline,CA,large car,3.0,20.0,29.0,23.0,5,No
126,2018,BMW 340i Gran Turismo,3.0,60,SemiAuto-8,4WD,Gasoline,FA,large car,3.0,20.0,29.0,23.0,5,No
127,2018,BMW 430i Convertible,2.0,40,SemiAuto-8,2WD,Gasoline,CA,small car,7.0,24.0,34.0,27.0,6,No
128,2018,BMW 430i Convertible,2.0,40,SemiAuto-8,2WD,Gasoline,FA,small car,7.0,24.0,34.0,27.0,6,No
129,2018,BMW 430i Convertible,2.0,40,SemiAuto-8,4WD,Gasoline,CA,small car,7.0,22.0,32.0,26.0,5,No
130,2018,BMW 430i Convertible,2.0,40,SemiAuto-8,4WD,Gasoline,FA,small car,7.0,22.0,32.0,26.0,5,No
131,2018,BMW 430i Coupe,2.0,40,Man-6,2WD,Gasoline,CA,small car,7.0,21.0,33.0,25.0,5,No
132,2018,BMW 430i Coupe,2.0,40,Man-6,2WD,Gasoline,FA,small car,7.0,21.0,33.0,25.0,5,No
133,2018,BMW 430i Coupe,2.0,40,SemiAuto-8,2WD,Gasoline,CA,small car,7.0,24.0,34.0,27.0,6,No
134,2018,BMW 430i Coupe,2.0,40,SemiAuto-8,2WD,Gasoline,FA,small car,7.0,24.0,34.0,27.0,6,No
135,2018,BMW 430i Coupe,2.0,40,SemiAuto-8,4WD,Gasoline,CA,small car,7.0,23.0,33.0,27.0,6,No
136,2018,BMW 430i Coupe,2.0,40,SemiAuto-8,4WD,Gasoline,FA,small car,7.0,23.0,33.0,27.0,6,No
137,2018,BMW 430i Gran Coupe,2.0,40,SemiAuto-8,2WD,Gasoline,CA,small car,7.0,24.0,34.0,27.0,6,No
138,2018,BMW 430i Gran Coupe,2.0,40,SemiAuto-8,2WD,Gasoline,FA,small car,7.0,24.0,34.0,27.0,6,No
139,2018,BMW 430i Gran Coupe,2.0,40,SemiAuto-8,4WD,Gasoline,CA,small car,7.0,23.0,33.0,27.0,6,No
140,2018,BMW 430i Gran Coupe,2.0,40,SemiAuto-8,4WD,Gasoline,FA,small car,7.0,23.0,33.0,27.0,6,No
141,2018,BMW 440i Convertible,3.0,60,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,21.0,29.0,24.0,5,No
142,2018,BMW 440i Convertible,3.0,60,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,21.0,29.0,24.0,5,No
143,2018,BMW 440i Convertible,3.0,60,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,20.0,29.0,23.0,5,No
144,2018,BMW 440i Convertible,3.0,60,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,20.0,29.0,23.0,5,No
145,2018,BMW 440i Coupe,3.0,60,Man-6,2WD,Gasoline,CA,small car,3.0,19.0,29.0,23.0,5,No
146,2018,BMW 440i Coupe,3.0,60,Man-6,2WD,Gasoline,FA,small car,3.0,19.0,29.0,23.0,5,No
147,2018,BMW 440i Coupe,3.0,60,Man-6,4WD,Gasoline,CA,small car,3.0,19.0,29.0,23.0,5,No
148,2018,BMW 440i Coupe,3.0,60,Man-6,4WD,Gasoline,FA,small car,3.0,19.0,29.0,23.0,5,No
149,2018,BMW 440i Coupe,3.0,60,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,21.0,32.0,25.0,5,No
