Unnamed: 0_2008,record_yea_2008,model_2008,displ_2008,cyl_2008,trans_2008,drive_2008,fuel_2008,cert_regio_2008,veh_class_2008,air_pollut_2008,city_mpg_2008,hwy_mpg_2008,cmb_mpg_2008,greenhouse_2008,smartway_2008,Unnamed: 0,record_year,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
52,2008,AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,FA,midsize car,6.0,16.0,23.0,18.0,5,no,44,2018,AUDI A6,2.0,40,AMS-7,2WD,Gasoline,FA,midsize car,5.0,25.0,34.0,28.0,6,No
52,2008,AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,FA,midsize car,6.0,16.0,23.0,18.0,5,no,45,2018,AUDI A6,2.0,40,SemiAuto-8,4WD,Gasoline,CA,midsize car,5.0,22.0,31.0,26.0,5,No
52,2008,AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,FA,midsize car,6.0,16.0,23.0,18.0,5,no,46,2018,AUDI A6,2.0,40,SemiAuto-8,4WD,Gasoline,FA,midsize car,5.0,22.0,31.0,26.0,5,No
52,2008,AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,FA,midsize car,6.0,16.0,23.0,18.0,5,no,47,2018,AUDI A6,3.0,60,SemiAuto-8,4WD,Gasoline,FA,midsize car,3.0,20.0,29.0,23.0,5,No
52,2008,AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,FA,midsize car,6.0,16.0,23.0,18.0,5,no,48,2018,AUDI A6,3.0,60,SemiAuto-8,4WD,Gasoline,CA,midsize car,3.0,20.0,29.0,23.0,5,No
53,2008,AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,CA,midsize car,6.0,16.0,23.0,18.0,5,no,43,2018,AUDI A6,2.0,40,AMS-7,2WD,Gasoline,CA,midsize car,5.0,25.0,34.0,28.0,6,No
53,2008,AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,CA,midsize car,6.0,16.0,23.0,18.0,5,no,44,2018,AUDI A6,2.0,40,AMS-7,2WD,Gasoline,FA,midsize car,5.0,25.0,34.0,28.0,6,No
53,2008,AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,CA,midsize car,6.0,16.0,23.0,18.0,5,no,45,2018,AUDI A6,2.0,40,SemiAuto-8,4WD,Gasoline,CA,midsize car,5.0,22.0,31.0,26.0,5,No
53,2008,AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,CA,midsize car,6.0,16.0,23.0,18.0,5,no,46,2018,AUDI A6,2.0,40,SemiAuto-8,4WD,Gasoline,FA,midsize car,5.0,22.0,31.0,26.0,5,No
53,2008,AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,CA,midsize car,6.0,16.0,23.0,18.0,5,no,47,2018,AUDI A6,3.0,60,SemiAuto-8,4WD,Gasoline,FA,midsize car,3.0,20.0,29.0,23.0,5,No
